170,6/1/2022,152,0.27, ,0, ,750,R,10.9, ,88.9, ,47.9, ,69.1, ,92, ,22, ,45, ,46.7, ,3.2, ,77.0, ,64.8, 
170,6/2/2022,153,0.24, ,0, ,665, ,11.0, ,81.7, ,57.9, ,69.4, ,72, ,27, ,45, ,47.0, ,4.0, ,95.8, ,65.6, 
170,6/3/2022,154,0.21, ,0, ,607, ,14.5, ,75.3, ,57.8, ,65.4, ,80, ,58, ,68, ,54.4, ,4.7, ,111.9, ,65.5, 
170,6/4/2022,155,0.13, ,0, ,344, ,11.7, ,74.4, ,58.8, ,65.4, ,76, ,32, ,55, ,48.6, ,3.4, ,81.7, ,65.3, 
170,6/5/2022,156,0.13, ,0.02, ,397, ,17.9,Y,78.5, ,61.7, ,68.4, ,92, ,57, ,75,Y,60.3,Y,3.8, ,90.7, ,65.5, 
170,6/6/2022,157,0.26, ,0, ,763,R,13.1, ,80.7, ,57.2, ,68.0, ,79, ,37, ,56, ,51.7, ,3.9, ,93.1, ,66.2, 
170,6/7/2022,158,0.26, ,0, ,725, ,12.3, ,84.3, ,54.6, ,68.1, ,83, ,31, ,52, ,49.9, ,4.0, ,95.9, ,66.8, 
170,6/8/2022,159,0.26, ,0, ,681, ,12.9, ,84.0, ,60.0, ,70.2, ,76, ,33, ,51, ,51.2, ,4.8, ,115.8, ,66.9, 
170,6/9/2022,160,0.28, ,0, ,709, ,12.6, ,93.8, ,57.9, ,74.7, ,78, ,21, ,43, ,50.7, ,3.8, ,90.8, ,67.7, 
170,6/10/2022,161,0.29, ,0, ,750,R,15.1, ,97.2, ,61.9,Y,79.6,Y,70, ,25, ,44,Y,55.7,Y,3.4, ,81.4, ,69.1, 
170,6/11/2022,162,0.28, ,0, ,734, ,17.1,Y,90.3, ,65.3,R,77.3,H,77,H,30,H,53,Y,59.0,Y,4.5, ,108.1, ,70.1, 
170,6/12/2022,163,0.20, ,0, ,586, ,16.1, ,78.9, ,59.3, ,69.2, ,83, ,50, ,66, ,57.4, ,4.7, ,112.2, ,70.4, 
170,6/13/2022,164,0.26, ,0, ,769,R,11.0, ,81.2, ,52.3, ,66.1, ,82, ,25, ,50, ,47.1, ,3.7, ,89.6, ,69.0, 
170,6/14/2022,165,0.26, ,0, ,758,R,10.8, ,87.5, ,51.3, ,69.8, ,81, ,21, ,43, ,46.5, ,2.8, ,66.1, ,68.5, 
170,6/15/2022,166,0.29, ,0, ,760,R,11.0, ,90.0, ,53.3, ,69.7, ,82, ,16, ,44, ,47.1, ,4.2, ,100.7, ,68.7, 
170,6/16/2022,167,0.27, ,0, ,761,R,10.8, ,80.4, ,53.6, ,65.1, ,77, ,30, ,51, ,46.5, ,4.7, ,113.9, ,68.4, 
170,6/17/2022,168,0.22, ,0, ,693, ,10.8, ,68.8, ,54.8, ,60.5, ,80, ,43, ,60, ,46.6, ,5.3, ,128.0, ,67.6, 
170,6/18/2022,169,0.24, ,0, ,744, ,10.7, ,76.1, ,52.8, ,62.8, ,81, ,34, ,55, ,46.4, ,3.9, ,93.9, ,66.9, 
170,6/19/2022,170,0.26, ,0, ,756,R,11.0, ,83.2, ,50.9, ,67.1, ,89, ,24, ,49, ,47.1, ,3.0, ,71.7, ,67.1, 
170,6/20/2022,171,0.27, ,0, ,746, ,11.0, ,91.1, ,52.4, ,72.1, ,82, ,20, ,41, ,47.0, ,2.8, ,67.0, ,67.7, 
170,6/21/2022,172,0.29, ,0, ,763,R,10.1, ,101.0,Y,55.5, ,79.1,Y,67, ,11, ,30,Y,44.8,Y,2.2, ,53.9, ,68.6, 
170,6/22/2022,173,0.24, ,0, ,556, ,11.9, ,94.4, ,59.6, ,77.8, ,60, ,22, ,36, ,49.1, ,2.7, ,63.9, ,69.5, 
170,6/23/2022,174,0.28, ,0, ,705, ,12.7, ,94.2, ,60.9, ,76.8, ,79, ,18, ,40, ,50.9, ,3.7, ,88.4, ,70.2, 
170,6/24/2022,175,0.29, ,0.03,H,768,R,13.5, ,96.6, ,54.8, ,73.6, ,91, ,16, ,48, ,52.6, ,3.6, ,86.2, ,70.2, 
170,6/25/2022,176,0.28, ,0, ,769,R,13.0, ,92.1, ,55.0, ,70.6, ,89, ,12, ,51, ,51.5, ,4.0, ,96.8, ,70.0, 
170,6/26/2022,177,0.27, ,0, ,774,R,14.8, ,88.9, ,55.6, ,68.8, ,91, ,30, ,62, ,55.1, ,4.9, ,118.8, ,69.8, 
170,6/27/2022,178,0.27, ,0, ,773,R,14.2, ,88.1, ,54.7, ,68.6, ,90, ,33, ,60, ,54.0, ,4.1, ,99.5, ,69.6, 
170,6/28/2022,179,0.29, ,0, ,761,R,12.1, ,92.2, ,55.6, ,72.8, ,88, ,15, ,44, ,49.5, ,3.7, ,88.5, ,69.5, 
170,6/29/2022,180,0.26, ,0, ,774,R,12.9, ,82.0, ,56.0, ,66.1, ,86, ,33, ,59, ,51.3, ,5.3, ,126.2, ,69.4, 
170,6/30/2022,181,0.24, ,0, ,756,R,12.9, ,76.3, ,54.8, ,62.4, ,87, ,44, ,67, ,51.2, ,6.1, ,147.1, ,68.5, 
