231,12/1/2021,335,--,N,0.00, ,274, ,10.4, ,77.8,Y,38.5, ,53.1, ,99, ,34, ,76, ,45.7, ,3.7, ,88.4, ,54.8, 
231,12/2/2021,336,--,N,0.00, ,246, ,11.6, ,59.2, ,36.2, ,49.7, ,100, ,82, ,96, ,48.5, ,4.8, ,115.2, ,56.0, 
231,12/3/2021,337,--,N,0, ,76, ,11.9, ,55.4, ,48.6, ,51.5, ,99, ,82, ,91, ,49.0, ,3.6, ,85.3, ,56.8, 
231,12/4/2021,338,--,N,0, ,162, ,10.7, ,59.5, ,40.7, ,50.7, ,96, ,70, ,85, ,46.3, ,4.3, ,102.2, ,56.9, 
231,12/5/2021,339,--,N,0.01, ,255, ,11.4, ,69.2, ,39.9, ,50.4, ,100, ,57, ,92, ,48.1, ,5.4, ,129.8, ,56.0, 
231,12/6/2021,340,--,N,0.00, ,205, ,11.5, ,62.3, ,34.2, ,50.4, ,99, ,76, ,92, ,48.2, ,4.5, ,109.0, ,55.4, 
231,12/7/2021,341,--,N,0, ,155, ,13.7, ,62.7, ,47.7, ,54.9, ,99, ,79, ,93, ,52.9, ,3.6, ,87.2, ,57.0, 
231,12/8/2021,342,--,N,0, ,238, ,12.8, ,64.9, ,45.7, ,54.1, ,100, ,75, ,90, ,51.1, ,5.3, ,127.0, ,57.6, 
231,12/9/2021,343,--,N,0.06,H,128, ,11.6, ,56.7, ,40.3, ,52.0, ,99, ,70, ,87, ,48.4, ,7.7, ,183.8, ,57.7, 
231,12/10/2021,344,--,N,0.02, ,248, ,8.6, ,59.9, ,36.4, ,47.8, ,97, ,51, ,76, ,40.7, ,5.5, ,130.8, ,54.6, 
231,12/11/2021,345,--,N,0.00, ,274, ,8.0, ,64.0, ,34.1, ,45.5, ,98, ,49, ,78, ,38.9, ,3.8, ,90.4, ,52.8, 
231,12/12/2021,346,--,N,0, ,274, ,7.8, ,60.7, ,29.6, ,43.1, ,98, ,47, ,83, ,38.3, ,3.4, ,82.1, ,51.7, 
231,12/13/2021,347,--,N,0.08, ,68, ,11.8, ,56.2, ,38.2, ,51.1, ,99, ,82, ,92, ,48.9, ,12.9,R,309.7,R,52.0, 
231,12/14/2021,348,--,N,0.06,H,92, ,10.9, ,56.5, ,40.4, ,49.2, ,100, ,70, ,91, ,46.8, ,8.5, ,204.8, ,53.6, 
231,12/15/2021,349,--,N,0.02, ,249, ,8.1, ,55.4, ,33.6, ,42.8, ,99, ,62, ,86, ,39.0, ,3.2, ,77.0, ,50.5, 
231,12/16/2021,350,--,N,0.02, ,110, ,10.8, ,56.5, ,36.5, ,48.2, ,99, ,81, ,94, ,46.5, ,6.0, ,144.6, ,50.1, 
231,12/17/2021,351,--,N,0.01, ,271, ,9.7, ,59.9, ,37.5, ,46.6, ,99, ,69, ,90, ,43.8, ,3.8, ,91.7, ,50.8, 
231,12/18/2021,352,--,N,0.01, ,282, ,8.1, ,58.9, ,31.2, ,42.2, ,100, ,64, ,89, ,39.1, ,3.3, ,78.7, ,49.1, 
231,12/19/2021,353,--,N,0.00, ,276, ,8.8, ,56.7, ,31.2, ,42.8, ,100, ,79, ,94, ,41.2, ,4.0, ,97.0, ,48.3, 
231,12/20/2021,354,--,N,0.01, ,178, ,9.1, ,57.2, ,34.7, ,44.9, ,100, ,67, ,90, ,42.2, ,2.5, ,59.2, ,48.7, 
231,12/21/2021,355,--,N,0.00, ,222, ,9.5, ,60.8, ,34.6, ,45.6, ,100, ,68, ,91, ,43.2, ,3.4, ,82.7, ,49.1, 
231,12/22/2021,356,--,N,0.01, ,62, ,11.8, ,58.7, ,41.0, ,52.0, ,99, ,71, ,89, ,48.9, ,3.5, ,83.9, ,49.9, 
231,12/23/2021,357,--,N,0.00, ,19, ,14.6, ,57.3, ,54.2,Y,55.8, ,99, ,92, ,96, ,54.7, ,9.2,Y,220.8,Y,53.1, 
231,12/24/2021,358,--,N,0.01, ,168, ,12.7, ,58.7, ,48.0, ,53.5, ,99, ,78, ,91, ,50.8, ,5.7, ,136.6, ,53.9, 
231,12/25/2021,359,--,N,0.00, ,200, ,10.6, ,58.5, ,43.4, ,50.7, ,97, ,63, ,84, ,46.0, ,6.0, ,145.0, ,53.0, 
231,12/26/2021,360,--,N,0.00, ,277, ,8.6, ,54.9, ,35.8, ,47.4, ,96, ,58, ,78, ,40.7, ,5.9, ,142.1, ,51.9, 
231,12/27/2021,361,--,N,0.00, ,100, ,9.5, ,54.5, ,34.1, ,44.7, ,99, ,84, ,94, ,43.1, ,6.2, ,149.2, ,49.6, 
231,12/28/2021,362,--,N,0.00, ,268, ,8.6, ,54.4, ,38.4, ,44.4, ,99, ,63, ,87, ,40.7, ,4.4, ,105.9, ,49.3, 
231,12/29/2021,363,--,N,0.00, ,238, ,10.7, ,55.0, ,42.8, ,49.0, ,95, ,85, ,91, ,46.4, ,10.0,Y,239.2,Y,49.5, 
231,12/30/2021,364,--,N,0.00, ,124, ,11.1, ,59.3, ,40.9, ,48.3, ,99, ,77, ,96, ,47.2, ,2.8, ,68.3, ,50.3, 
231,12/31/2021,365,--,N,0.00, ,249, ,9.4, ,55.5, ,36.8, ,47.0, ,100, ,71, ,86, ,42.9, ,7.7, ,183.7, ,50.4, 
