126,12/1/2021,335,0.08, ,0, ,270, ,9.5, ,79.2,Y,40.8, ,55.9, ,84, ,35, ,62, ,43.2, ,1.9, ,45.9, ,55.3, 
126,12/2/2021,336,0.07, ,0, ,256, ,9.8, ,70.9, ,38.9, ,52.3, ,99, ,41, ,74, ,44.1, ,2.1, ,49.3, ,55.1, 
126,12/3/2021,337,0.02, ,0.00, ,126, ,11.2, ,55.8, ,44.3, ,49.6, ,99, ,81, ,92, ,47.5, ,2.2, ,51.8, ,55.0, 
126,12/4/2021,338,0.02, ,0, ,98, ,10.4, ,55.6, ,40.7, ,48.7, ,97, ,77, ,89, ,45.6, ,2.4, ,56.7, ,54.8, 
126,12/5/2021,339,0.05, ,0.00, ,209, ,10.1, ,65.2, ,39.4, ,48.6, ,99, ,57, ,86, ,44.8, ,2.0, ,47.7, ,54.0, 
126,12/6/2021,340,0.04, ,0.00, ,166, ,9.6, ,57.3, ,36.0, ,46.7, ,99, ,70, ,89, ,43.6, ,2.1, ,49.8, ,53.3, 
126,12/7/2021,341,0.05, ,0.06, ,211, ,12.0, ,64.3, ,46.8, ,53.8, ,98, ,64, ,85, ,49.4, ,2.6, ,61.2, ,53.9, 
126,12/8/2021,342,0.03, ,0, ,131, ,11.9, ,58.9, ,44.3, ,52.0, ,99, ,79, ,90, ,49.1, ,2.7, ,63.8, ,54.4, 
126,12/9/2021,343,0.04, ,0.14, ,157, ,10, ,57.6, ,38.9, ,49.8, ,95, ,62, ,82, ,44.6, ,3.4, ,81.9, ,54.5, 
126,12/10/2021,344,0.06, ,0, ,260, ,7.3, ,57.8, ,34.3, ,43.8, ,98, ,47, ,75, ,36.4, ,2.1, ,50.6, ,53.3, 
126,12/11/2021,345,0.06, ,0, ,263, ,6.1, ,59.6, ,29.7, ,42.7, ,88, ,34, ,66, ,32.1, ,2.3, ,54.3, ,52.0, 
126,12/12/2021,346,0.03, ,0.03, ,117, ,8.7, ,55.6, ,34.3, ,46.5, ,94, ,56, ,81, ,41.0, ,2.2, ,51.9, ,51.3, 
126,12/13/2021,347,0.02, ,1.26, ,68, ,11.6, ,56.1, ,50.3, ,53.5, ,98, ,71, ,83, ,48.4, ,6.5,R,154.9,R,52.0, 
126,12/14/2021,348,0.03, ,0.56, ,125, ,8.8, ,51.3, ,38.4, ,45.0, ,97, ,64, ,87, ,41.3, ,3.3, ,78.0, ,50.4, 
126,12/15/2021,349,0.06, ,0.00, ,199, ,7.8, ,56.6, ,38.6, ,47.7, ,94, ,51, ,69, ,38.1, ,3.4, ,81.9, ,49.7, 
126,12/16/2021,350,0.05, ,0.36, ,198, ,10.4, ,59.1, ,38.1, ,50.0, ,99, ,60, ,85, ,45.6, ,3.8, ,90.6, ,50.8, 
126,12/17/2021,351,0.05, ,0.01, ,266, ,7.7, ,59.7, ,32.6, ,42.5, ,98, ,51, ,83, ,37.8, ,1.8, ,43.7, ,50.5, 
126,12/18/2021,352,0.05, ,0.00,H,263, ,7.2, ,54.8, ,31.8, ,40.8, ,96, ,63, ,83, ,35.9, ,2.1, ,51.2, ,49.6, 
126,12/19/2021,353,0.05, ,0.00, ,253, ,8.1, ,56.8, ,30.0, ,42.1, ,99, ,68, ,89, ,39.2, ,2.1, ,51.1, ,48.9, 
126,12/20/2021,354,0.04, ,0.00, ,192, ,8.1, ,53.7, ,32.2, ,42.7, ,99, ,70, ,87, ,39.2, ,1.9, ,44.9, ,48.8, 
126,12/21/2021,355,0.05, ,0, ,253, ,8.3, ,61.8, ,36.0, ,46.2, ,96, ,45, ,78, ,39.7, ,1.8, ,43.2, ,49.0, 
126,12/22/2021,356,0.02, ,0.08, ,116, ,12.3, ,58.6, ,45.6, ,52.1, ,99, ,83, ,93, ,50.1, ,2.5, ,60.3, ,50.3, 
126,12/23/2021,357,0.01, ,0.50, ,56, ,13.8, ,60.1, ,49.6, ,55.8, ,99, ,80, ,91, ,53.2, ,3.0, ,71.4, ,52.7, 
126,12/24/2021,358,0.01, ,0.13, ,79, ,10.5, ,52.6, ,44.1, ,48.7, ,99, ,73, ,89, ,45.7, ,2.9, ,69.1, ,52.6, 
126,12/25/2021,359,0.02, ,0.81, ,68, ,9.7, ,53.3, ,43.0, ,47.6, ,94, ,77, ,86, ,43.6, ,4.1, ,99.5, ,50.6, 
126,12/26/2021,360,0.05, ,0.04, ,206, ,8.2, ,54.3, ,39.1, ,46.3, ,94, ,55, ,77, ,39.3, ,2.8, ,67.0, ,48.6, 
126,12/27/2021,361,0.03, ,0.85, ,125, ,9.0, ,52.1, ,40.1, ,45.2, ,95, ,78, ,88, ,41.7, ,3.1, ,75.0, ,48.8, 
126,12/28/2021,362,0.03, ,0.02, ,156, ,8.3, ,50.1, ,39.6, ,45.0, ,96, ,64, ,82, ,39.8, ,1.9, ,44.9, ,48.5, 
126,12/29/2021,363,0.03, ,0.22, ,124, ,10.2, ,56.1, ,41.4, ,48.8, ,99, ,73, ,87, ,45.1, ,2.9, ,70.1, ,49.4, 
126,12/30/2021,364,0.03, ,0.01, ,151, ,9.5, ,56.2, ,38.3, ,45.1, ,99, ,75, ,93, ,43.3, ,2.0, ,48.5, ,49.5, 
126,12/31/2021,365,0.05, ,0, ,219, ,8.1, ,52.9, ,37.2, ,44.4, ,97, ,59, ,82, ,39.1, ,2.9, ,69.3, ,49.4, 
