88,12/1/2021,335,0.13, ,0, ,287, ,3.2, ,85.3,Y,40.3, ,58.7,Y,43, ,5, ,19,Y,16.2,Y,5.0, ,120.1, ,58.7, 
88,12/2/2021,336,0.13, ,0, ,278, ,2.8, ,79.9, ,40.7, ,56.0, ,30, ,7, ,18, ,13.2, ,5.9, ,141.7, ,58.8, 
88,12/3/2021,337,0.11, ,0, ,281, ,3.9, ,77.5, ,37.1, ,53.2, ,44, ,11, ,28, ,20.9, ,4.8, ,114.6, ,58.5, 
88,12/4/2021,338,0.10, ,0, ,274, ,4.9, ,73.1, ,34.3, ,49.9, ,65, ,17, ,40, ,26.5, ,5.4, ,130.3, ,57.7, 
88,12/5/2021,339,0.10, ,0, ,273, ,4.8, ,68.3, ,32.0, ,47.7, ,60, ,24, ,43, ,26.2, ,5.7, ,135.6, ,56.5, 
88,12/6/2021,340,0.08, ,0, ,221, ,4.0, ,70.3, ,31.6, ,49.8, ,51, ,18, ,33, ,21.8, ,3.5, ,84.2, ,55.5, 
88,12/7/2021,341,0.07, ,0, ,191, ,7.1, ,65.0, ,42.4, ,52.1, ,78, ,36, ,54, ,35.8, ,3.9, ,92.9, ,56.7, 
88,12/8/2021,342,0.08, ,0, ,254, ,8.0, ,68.3, ,34.6, ,49.6, ,100, ,37, ,66, ,38.8, ,4.5, ,108.4, ,--,S
88,12/9/2021,343,0.03, ,0.09, ,137, ,8.9, ,51.7, ,38.9, ,45.2, ,100, ,59, ,87, ,41.6, ,4.2, ,101.6, ,--,S
88,12/10/2021,344,0.06, ,0, ,265, ,7.3, ,52.1, ,31.4, ,41.9, ,99, ,57, ,81, ,36.5, ,4.6, ,110.4, ,53.5, 
88,12/11/2021,345,0.07, ,0, ,268, ,4.9, ,60.4, ,26.4, ,40.1, ,97, ,25, ,58, ,26.6, ,4.1, ,99.2, ,52.0, 
88,12/12/2021,346,0.07, ,0, ,265, ,4.6, ,62.4, ,24.4, ,42.2, ,80, ,20, ,50, ,24.9, ,3.9, ,93.2, ,50.9, 
88,12/13/2021,347,0.07, ,0.08, ,163, ,6.6, ,58.8, ,30.6, ,45.9, ,84, ,43, ,63, ,34.0, ,7.8,Y,188.0,Y,--,S
88,12/14/2021,348,0.01, ,1.02, ,87, ,8.3, ,52.7, ,32.2, ,41.9, ,99, ,74, ,92, ,39.8, ,6.4, ,154.5, ,--,S
88,12/15/2021,349,0.05, ,0, ,258, ,5.8, ,50.9, ,30.4, ,37.5, ,98, ,33, ,77, ,30.9, ,2.9, ,69.9, ,47.7, 
88,12/16/2021,350,0.04, ,0.01, ,181, ,8.2, ,56.5, ,31.7, ,43.4, ,93, ,70, ,85, ,39.3, ,4.6, ,109.3, ,47.0, 
88,12/17/2021,351,0.02, ,0.01, ,114, ,8.0, ,47.1, ,37.9, ,41.4, ,100, ,71, ,91, ,38.8, ,5.3, ,128.3, ,49.9, 
88,12/18/2021,352,0.06, ,0, ,257, ,6.3, ,64.3, ,27.8, ,42.9, ,100, ,30, ,67, ,32.8, ,3.9, ,93.3, ,49.0, 
88,12/19/2021,353,0.07, ,0, ,259, ,5.4, ,64.3, ,30.3, ,43.4, ,87, ,21, ,57, ,29.1, ,3.6, ,86.8, ,47.5, 
88,12/20/2021,354,0.02, ,0, ,159, ,6.1, ,43.6, ,25.6, ,35.0, ,96, ,73, ,88, ,31.8, ,2.5, ,59.2, ,45.3, 
88,12/21/2021,355,0.05, ,0, ,175, ,6.6, ,60.7, ,33.4, ,43.8, ,96, ,31, ,68, ,33.8, ,3.6, ,87.3, ,45.2, 
88,12/22/2021,356,0.03, ,0.09, ,113, ,8.4, ,57.3, ,34.3, ,46.3, ,100, ,42, ,79, ,40.1, ,3.2, ,76.1, ,--,S
88,12/23/2021,357,0.01, ,0.55, ,39, ,12.3,Y,58.0, ,47.7,Y,52.5, ,100, ,75, ,91,Y,50.1,Y,4.7, ,111.8, ,--,S
88,12/24/2021,358,0.04, ,0.16, ,173, ,9.9, ,55.7, ,41.7, ,48.6, ,100, ,58, ,85, ,44.4, ,4.7, ,112.4, ,59.0,Y
88,12/25/2021,359,0.04, ,0.32, ,185, ,8.3, ,53.2, ,38.9, ,43.8, ,100, ,61, ,86, ,39.7, ,5.1, ,123.5, ,55.3,H
88,12/26/2021,360,0.05, ,0.04, ,244, ,7.0, ,49.0, ,33.2, ,40.9, ,100, ,47, ,80, ,35.2, ,3.3, ,78.2, ,59.7,Y
88,12/27/2021,361,0.02, ,0.12, ,117, ,7.4, ,48.4, ,31.7, ,39.0, ,100, ,76, ,92, ,36.9, ,5.1, ,121.3, ,50.6,H
88,12/28/2021,362,0.04, ,0, ,201, ,6.7, ,46.7, ,33.3, ,39.1, ,96, ,62, ,82, ,34.2, ,3.2, ,75.8, ,46.6, 
88,12/29/2021,363,0.02, ,0, ,91, ,7.6, ,51.1, ,33.9, ,43.4, ,97, ,61, ,79, ,37.4, ,5.2, ,125.6, ,45.1, 
88,12/30/2021,364,0.01, ,0, ,79, ,9.0, ,47.6, ,37.8, ,42.9, ,100, ,86, ,96, ,41.7, ,3.5, ,84.8, ,45.4, 
88,12/31/2021,365,0.02, ,0, ,124, ,8.2, ,48.9, ,38.1, ,42.2, ,100, ,74, ,90, ,39.4, ,5.4, ,129.0, ,46.7, 
