153,12/1/2021,335,0.08,R,0, ,327, ,10.5, ,88.1,Y,38.7, ,56.1, ,95, ,16, ,68, ,45.7, ,1.1, ,26.8, ,55.6, 
153,12/2/2021,336,0.07,R,0, ,303, ,12.4, ,72.6, ,37.9, ,53.2, ,98, ,68, ,89, ,50.2, ,1.1, ,26.5, ,53.9, 
153,12/3/2021,337,0.05,R,0, ,242, ,12.6, ,68.7, ,47.0, ,54.4, ,96, ,62, ,87, ,50.7, ,1.0,I,24.0,I,55.4, 
153,12/4/2021,338,0.05,R,0, ,256, ,12.6, ,67.9, ,47.1, ,54.8, ,95, ,65, ,86, ,50.7, ,1.0, ,24.1, ,56.6, 
153,12/5/2021,339,0.06,R,0, ,263, ,12.0, ,74.6, ,43.2, ,53.9, ,96, ,53, ,84, ,49.3, ,1.0,I,24.0,I,57.1, 
153,12/6/2021,340,0.07,R,0.00,H,306, ,11.8, ,72.6, ,37.1, ,53.3, ,97, ,48, ,85, ,48.8, ,1.0, ,24.1, ,55.8, 
153,12/7/2021,341,0.01,R,0.02, ,59, ,12.7, ,60.8, ,47.0, ,55.4, ,94, ,72, ,85, ,50.8, ,1.0, ,24.3, ,56.4, 
153,12/8/2021,342,0.07,R,0, ,298, ,13.0, ,71.4, ,44.8, ,56.7, ,96, ,53, ,83, ,51.5, ,1.1, ,25.3, ,56.2, 
153,12/9/2021,343,0.00,R,0.08, ,57, ,13.8, ,60.1, ,45.2, ,55.6, ,95, ,84, ,92, ,53.2, ,1.0, ,24.9, ,57.4, 
153,12/10/2021,344,0.04,R,0.00, ,189, ,10.7, ,61.8, ,37.8, ,50.6, ,96, ,61, ,85, ,46.4, ,1.0,I,24.0,I,55.8, 
153,12/11/2021,345,0.07,R,0, ,325,R,7.2, ,71.1, ,32.8, ,48.4, ,94, ,28, ,62, ,36.2, ,1.0, ,24.2, ,53.5, 
153,12/12/2021,346,0.07,R,0, ,319, ,7.3, ,67.3, ,32.3, ,48.9, ,82, ,37, ,62, ,36.5, ,1.0, ,24.1, ,52.3, 
153,12/13/2021,347,0.01,R,0.01, ,70, ,10.6, ,57.8, ,41.4, ,51.1, ,93, ,71, ,83, ,46.1, ,1.0,I,24.0,I,51.8, 
153,12/14/2021,348,0.01, ,0.89, ,81, ,11.9, ,59.5, ,39.0, ,52.6, ,95, ,76, ,88, ,49.2, ,4.0, ,95.0, ,53.7, 
153,12/15/2021,349,0.06,R,0, ,312, ,7.8, ,60.3, ,38.2, ,46.0, ,94, ,42, ,74, ,38.2, ,1.0,I,24.0,I,51.8, 
153,12/16/2021,350,0.06,R,0, ,298, ,9.0, ,60.6, ,32.4, ,47.8, ,93, ,46, ,79, ,41.8, ,1.0,I,24.0,I,50.3, 
153,12/17/2021,351,0.07,R,0, ,318, ,9.7, ,74.4, ,39.4, ,53.8, ,95, ,31, ,68, ,43.6, ,1.0,I,24.0,I,52.5, 
153,12/18/2021,352,0.07,R,0, ,328,R,6.7, ,71.0, ,30.0, ,47.8, ,86, ,28, ,59, ,34.2, ,1.0,I,24.0,I,51.0, 
153,12/19/2021,353,0.06,R,0, ,320, ,6.8, ,68.3, ,28.5, ,45.9, ,94, ,33, ,65, ,34.8, ,1.0,I,24.0,I,49.5, 
153,12/20/2021,354,0.06,R,0, ,275, ,7.3, ,70.3, ,28.4, ,47.8, ,92, ,29, ,64, ,36.4, ,1.0,I,24.0,I,48.8, 
153,12/21/2021,355,0.04,R,0, ,145, ,8.4, ,69.3, ,45.1, ,54.5, ,79, ,39, ,58, ,40.1, ,1.0,I,24.0,I,51.1, 
153,12/22/2021,356,0.05,R,0, ,210, ,9.8, ,69.0, ,38.9, ,53.7, ,92, ,43, ,70, ,44.0, ,1.0,I,24.0,I,51.8, 
153,12/23/2021,357,0.01,R,0.65, ,65, ,12.3, ,66.8, ,51.1, ,57.9, ,96, ,53, ,75, ,50.1, ,1.7, ,41.2, ,53.7, 
153,12/24/2021,358,0.04, ,0.56, ,178, ,13.7, ,61.1, ,51.0, ,56.4, ,95, ,77, ,88, ,53.0, ,4.0, ,95.2, ,55.0, 
153,12/25/2021,359,0.01,R,0.11, ,104, ,12.8, ,55.2, ,49.6, ,52.5, ,97, ,91, ,95, ,51.2, ,1.4, ,34.0, ,54.9, 
153,12/26/2021,360,0.05,R,0.15, ,259, ,10.3, ,59.0, ,41.5, ,50.6, ,95, ,58, ,82, ,45.4, ,1.5, ,35.6, ,54.5, 
153,12/27/2021,361,0.05,R,0.14, ,204, ,9.8, ,56.7, ,40.4, ,48.6, ,94, ,62, ,84, ,44.0, ,4.0, ,96.6, ,52.1, 
153,12/28/2021,362,0.02,R,0.22, ,140, ,10.7, ,52.3, ,42.6, ,48.4, ,98, ,74, ,92, ,46.3, ,1.4, ,32.8, ,52.5, 
153,12/29/2021,363,0.02,R,0.05, ,131, ,11.1, ,57.5, ,43.2, ,50.2, ,98, ,70, ,89, ,47.2, ,1.4, ,33.1, ,52.2, 
153,12/30/2021,364,0.04, ,0, ,178, ,11.5, ,65.1, ,48.3, ,55.8, ,88, ,58, ,76, ,48.2, ,2.4, ,57.4, ,53.4, 
153,12/31/2021,365,0.03,R,0, ,152, ,11.8, ,62.6, ,49.1, ,54.1, ,90, ,71, ,82, ,48.8, ,3.5, ,84.9, ,54.0, 
