44,12/1/2021,335,0.11, ,0, ,326,R,5.3, ,85.1, ,54.4, ,67.4,Y,42, ,10, ,23,Y,28.3,Y,3.7, ,89.8, ,56.7, 
44,12/2/2021,336,0.09, ,0, ,313, ,7.6, ,74.6, ,47.4, ,57.8, ,88, ,22, ,47, ,37.5, ,3.0, ,72.7, ,56.8, 
44,12/3/2021,337,0.06, ,0, ,260, ,11.3, ,66.0, ,46.4, ,53.3, ,100, ,51, ,81, ,47.8, ,2.4, ,57.4, ,56.8, 
44,12/4/2021,338,0.03, ,0.00, ,177, ,10.9, ,62.0, ,41.6, ,49.0, ,100, ,64, ,92, ,46.9, ,2.3, ,54.3, ,56.3, 
44,12/5/2021,339,0.06, ,0.00, ,273, ,10.6, ,67.7, ,40.3, ,50.8, ,100, ,52, ,84, ,46.2, ,2.6, ,62.4, ,55.5, 
44,12/6/2021,340,0.08, ,0, ,285, ,9.5, ,72.2, ,44.3, ,56.3, ,100, ,27, ,61, ,43.1, ,2.7, ,64.2, ,55.3, 
44,12/7/2021,341,0.02, ,0.02, ,131, ,11.5, ,61.2, ,46.9, ,53.3, ,100, ,64, ,83, ,48.3, ,2.4, ,57.8, ,56.0, 
44,12/8/2021,342,0.06, ,0, ,268, ,11.5, ,64.1, ,43.4, ,53.2, ,100, ,53, ,83, ,48.2, ,2.9, ,70.1, ,55.7, 
44,12/9/2021,343,0.00, ,0.12, ,53, ,12.7, ,54.4, ,45.9, ,51.6, ,100, ,91, ,98, ,50.9, ,2.5, ,61.0, ,56.1, 
44,12/10/2021,344,0.04, ,0.00, ,201, ,9.4, ,58.6, ,41.6, ,48.7, ,100, ,51, ,80, ,42.9, ,3.0, ,72.9, ,55.3, 
44,12/11/2021,345,0.07, ,0, ,306, ,5.7, ,65.6, ,38.5, ,49.5, ,83, ,26, ,47, ,30.2, ,3.0, ,72.6, ,54.1, 
44,12/12/2021,346,0.07, ,0, ,302, ,6.1, ,63.5, ,36.8, ,49.0, ,78, ,28, ,52, ,32.0, ,2.7, ,64.3, ,53.2, 
44,12/13/2021,347,0.02, ,0, ,97, ,9.3, ,56.0, ,40.5, ,48.9, ,94, ,63, ,79, ,42.6, ,3.1, ,75.6, ,52.8, 
44,12/14/2021,348,0.00, ,1.18, ,51, ,11.0, ,55.5, ,39.1, ,48.9, ,100, ,80, ,94, ,47.1, ,6.4, ,153.7, ,53.5, 
44,12/15/2021,349,0.06, ,0, ,302, ,6.7, ,56.0, ,34.9, ,43.1, ,100, ,36, ,71, ,34.3, ,2.6, ,61.5, ,51.8, 
44,12/16/2021,350,0.06, ,0, ,281, ,7.4, ,55.8, ,34.2, ,44.6, ,95, ,45, ,73, ,36.7, ,2.5, ,59.9, ,50.8, 
44,12/17/2021,351,0.09, ,0, ,316,R,5.4, ,64.2, ,40.4, ,52.8, ,93, ,19, ,40, ,29.0, ,5.1, ,123.1, ,51.1, 
44,12/18/2021,352,0.09, ,0, ,320,R,4.0, ,67.4, ,39.1, ,53.2, ,54, ,14, ,29, ,21.7, ,4.7, ,112.3, ,50.5, 
44,12/19/2021,353,0.07, ,0, ,311, ,5.4, ,67.1, ,37.7, ,50.2, ,77, ,16, ,44, ,28.9, ,2.8, ,67.0, ,50.1, 
44,12/20/2021,354,0.07, ,0.00, ,279, ,5.5, ,68.9, ,36.4, ,50.7, ,79, ,19, ,44, ,29.4, ,2.5, ,60.8, ,49.9, 
44,12/21/2021,355,0.04, ,0, ,146, ,6.5, ,67.1, ,44.8, ,53.3, ,63, ,27, ,47, ,33.5, ,2.3, ,55.6, ,50.8, 
44,12/22/2021,356,0.07, ,0, ,224, ,6.8, ,66.6, ,43.6, ,54.2, ,66, ,26, ,47, ,34.6, ,2.3, ,56.3, ,51.1, 
44,12/23/2021,357,0.01, ,0.88, ,37, ,11.0, ,55.8, ,49.0, ,52.1, ,100, ,54, ,83, ,47.1, ,4.1, ,98.8, ,52.2, 
44,12/24/2021,358,0.03, ,0.57, ,173, ,12.4,Y,57.6, ,48.3, ,52.3, ,100, ,67, ,92,Y,50.2,Y,3.3, ,79.5, ,52.4, 
44,12/25/2021,359,0.03, ,0.06, ,155, ,10.8, ,55.8, ,44.3, ,48.9, ,100, ,76, ,92, ,46.6, ,3.5, ,85.1, ,52.6, 
44,12/26/2021,360,0.06, ,0.33, ,303, ,9.0, ,56.7, ,42.5, ,48.0, ,100, ,44, ,79, ,41.7, ,3.0, ,71.8, ,51.9, 
44,12/27/2021,361,0.03, ,0.57, ,161, ,9.0, ,52.4, ,38.1, ,45.1, ,100, ,56, ,88, ,41.7, ,2.9, ,69.8, ,50.7, 
44,12/28/2021,362,0.01, ,0.02,H,85, ,9.0, ,49.7, ,42.3, ,45.1, ,100, ,65, ,88, ,41.9, ,2.4, ,58.8, ,50.1, 
44,12/29/2021,363,0.03, ,0.04, ,170, ,9.7, ,53.0, ,41.9, ,47.8, ,96, ,63, ,85, ,43.6, ,4.7, ,112.0, ,50.1, 
44,12/30/2021,364,0.03, ,0.13, ,137, ,10.9, ,60.6, ,43.9, ,51.3, ,100, ,55, ,85, ,46.8, ,3.0, ,71.7, ,51.1, 
44,12/31/2021,365,0.05, ,0.00, ,257, ,10.4, ,59.9, ,42.7, ,49.8, ,100, ,60, ,85, ,45.6, ,3.2, ,78.0, ,51.5, 
