233,12/1/2021,335,--,N,0, ,328, ,2.8, ,77.4, ,39.9, ,56.8, ,35, ,8, ,18, ,13.3, ,2.2, ,51.8, ,49.3, 
233,12/2/2021,336,--,N,0, ,320, ,2.6, ,77.0, ,42.4, ,57.1, ,27, ,8, ,16, ,11.7, ,2.3, ,54.4, ,49.3, 
233,12/3/2021,337,--,N,0, ,313, ,4.2, ,76.7, ,39.0, ,57.0, ,42, ,14, ,26, ,22.7, ,2.4, ,57.7, ,49.2, 
233,12/4/2021,338,--,N,0, ,314, ,4.2, ,75.9, ,41.3, ,55.8, ,45, ,14, ,27, ,22.8, ,2.3, ,55.0, ,49.2, 
233,12/5/2021,339,--,N,0, ,317, ,2.9, ,76.1, ,38.7, ,60.2, ,38, ,8, ,16, ,14.0, ,3.9, ,94.1, ,49.1, 
233,12/6/2021,340,--,N,0, ,295, ,2.8, ,76.3, ,41.6, ,60.4, ,27, ,9, ,16, ,13.5, ,3.5, ,83.1, ,49.1, 
233,12/7/2021,341,--,N,0, ,81, ,6.3, ,61.2, ,41.3, ,53.8, ,74, ,18, ,44, ,32.6, ,2.3, ,56.2, ,49.4, 
233,12/8/2021,342,--,N,0, ,303, ,7.2, ,67.8, ,37.7, ,53.9, ,87, ,33, ,51, ,36.1, ,3.9, ,93.3, ,49.3, 
233,12/9/2021,343,--,N,0, ,66, ,7.7, ,57.7, ,38.9, ,51.9, ,71, ,45, ,58, ,37.6, ,8.1,Y,194.1,Y,49.4, 
233,12/10/2021,344,--,N,0, ,213, ,4.3, ,53.5, ,25.4, ,41.5, ,75, ,22, ,48, ,23.5, ,2.9, ,68.5, ,49.0, 
233,12/11/2021,345,--,N,0, ,313, ,2.5, ,54.1, ,22.1, ,36.9, ,58, ,19, ,34, ,11.2, ,2.4, ,58.3, ,48.0, 
233,12/12/2021,346,--,N,0, ,313, ,2.2, ,56.6, ,19.5,Y,38.8, ,48, ,14, ,27, ,8.0, ,2.4, ,57.8, ,46.9, 
233,12/13/2021,347,--,N,0, ,265, ,4.5, ,62.1, ,26.2, ,45.4, ,63, ,19, ,43, ,24.4, ,4.2, ,100.1, ,46.3, 
233,12/14/2021,348,--,N,0.20, ,192, ,7.5, ,59.2, ,35.3, ,48.5, ,76, ,55, ,65, ,37.2, ,10.6,R,254.6,R,46.7, 
233,12/15/2021,349,--,N,0, ,304, ,4.8, ,52.3, ,29.0, ,38.9, ,88, ,34, ,60, ,26.0, ,2.6, ,62.9, ,46.5, 
233,12/16/2021,350,--,N,0, ,287, ,5.3, ,57.3, ,24.0, ,40.7, ,93, ,37, ,61, ,28.5, ,2.7, ,64.8, ,45.7, 
233,12/17/2021,351,--,N,0, ,316,R,4.9, ,55.1, ,29.7, ,43.1, ,88, ,25, ,52, ,26.6, ,3.5, ,82.9, ,45.2, 
233,12/18/2021,352,--,N,0, ,318,R,3.5, ,59.2, ,24.4, ,40.3, ,73, ,15, ,41, ,18.5, ,2.2, ,53.2, ,44.7, 
233,12/19/2021,353,--,N,0, ,313, ,3.5, ,59.4, ,24.4, ,38.8, ,68, ,18, ,43, ,18.5, ,1.8, ,43.7, ,43.8,Y
233,12/20/2021,354,--,N,0, ,284, ,3.6, ,59.3, ,23.3, ,40.7, ,71, ,18, ,42, ,19.6, ,2.0, ,47.2, ,43.1,Y
233,12/21/2021,355,--,N,0, ,196, ,4.1, ,57.6, ,36.7, ,47.2, ,62, ,24, ,37, ,22.4, ,2.2, ,52.0, ,43.2,Y
233,12/22/2021,356,--,N,0, ,265, ,4.0, ,65.3, ,32.1, ,49.1, ,62, ,15, ,33, ,21.5, ,2.4, ,58.1, ,43.3,Y
233,12/23/2021,357,--,N,0.11, ,129, ,7.0, ,63.9, ,42.7, ,53.5, ,72, ,27, ,50, ,35.5, ,4.7, ,113.9, ,43.9, 
233,12/24/2021,358,--,N,0.31, ,251, ,8.1,Y,59.2, ,37.6, ,51.1, ,87, ,45, ,63,Y,39.1,Y,7.2, ,172.1, ,44.8, 
233,12/25/2021,359,--,N,0, ,267, ,6.2, ,57.2, ,32.3, ,44.4, ,86, ,43, ,62, ,32.4, ,5.7, ,137.5, ,44.9, 
233,12/26/2021,360,--,N,0, ,315,R,5.3, ,56.4, ,33.6, ,46.1, ,74, ,26, ,50, ,28.3, ,4.1, ,99.3, ,44.8, 
233,12/27/2021,361,--,N,0, ,247, ,5.0, ,52.5, ,27.1, ,40.3, ,85, ,30, ,59, ,27.0, ,7.0, ,167.0, ,44.3, 
233,12/28/2021,362,--,N,0, ,309, ,4.9, ,52.5, ,32.6, ,44.1, ,76, ,38, ,50, ,26.7, ,6.2, ,148.1, ,43.9, 
233,12/29/2021,363,--,N,0, ,307, ,5.4, ,54.2, ,26.3, ,41.1, ,87, ,38, ,62, ,29.1, ,4.0, ,96.9, ,43.5, 
233,12/30/2021,364,--,N,0, ,273, ,6.7, ,56.6, ,40.2, ,48.0, ,76, ,47, ,59, ,34.4, ,4.3, ,102.8, ,43.6, 
233,12/31/2021,365,--,N,0, ,309, ,6.5, ,62.0, ,33.8, ,46.1, ,91, ,36, ,61, ,33.4, ,4.4, ,106.3, ,43.8, 
