152,12/1/2021,335,0.06, ,0.06, ,299, ,12.5, ,67.2, ,40.3, ,51.6, ,100, ,73, ,96, ,50.6, ,2.2, ,53.9, ,52.5, 
152,12/2/2021,336,0.03, ,0.01, ,184, ,12.5, ,60.5, ,45.9, ,51.5, ,100, ,82, ,97, ,50.5, ,2.9, ,68.6, ,53.1, 
152,12/3/2021,337,0.04, ,0, ,195, ,12.4, ,60.0, ,49.4, ,53.6, ,99, ,71, ,88, ,50.3, ,3.0, ,71.8, ,54.0, 
152,12/4/2021,338,0.05, ,0, ,241, ,12.1, ,62.1, ,43.1, ,52.8, ,99, ,67, ,89, ,49.5, ,3.3, ,78.7, ,54.7, 
152,12/5/2021,339,0.07, ,0.04, ,292, ,11.7, ,65.8, ,39.8, ,51.7, ,100, ,63, ,89, ,48.6, ,2.9, ,69.8, ,52.4, 
152,12/6/2021,340,0.05, ,0.00, ,240, ,12.4, ,64.1, ,40.0, ,52.8, ,99, ,67, ,91, ,50.2, ,2.5, ,59.5, ,51.7, 
152,12/7/2021,341,0.04, ,0.07, ,182, ,13.9, ,65.3, ,49.2, ,56.6, ,99, ,66, ,89, ,53.3, ,2.5, ,59.2, ,54.5, 
152,12/8/2021,342,0.06, ,0.00, ,270, ,13.3, ,65.4, ,45.8, ,55.7, ,99, ,67, ,88, ,52.1, ,3.4, ,81.4, ,53.8, 
152,12/9/2021,343,0.02, ,0.10, ,106, ,12.5, ,59.5, ,42.1, ,53.4, ,99, ,60, ,90, ,50.5, ,3.6, ,86.1, ,53.5, 
152,12/10/2021,344,0.06, ,0, ,243, ,8.9, ,65.2, ,41.4, ,50.7, ,97, ,36, ,71, ,41.5, ,3.8, ,90.1, ,49.7, 
152,12/11/2021,345,0.09, ,0.01, ,290, ,5.6, ,67.7, ,41.8, ,53.0, ,68, ,22, ,41, ,29.9, ,3.7, ,89.6, ,49.2, 
152,12/12/2021,346,0.07, ,0, ,287, ,7.9, ,63.5, ,37.8, ,48.7, ,97, ,35, ,68, ,38.5, ,3.4, ,80.7, ,48.6, 
152,12/13/2021,347,0.03, ,0.03, ,115, ,10.3, ,59.5, ,40.6, ,52.0, ,98, ,55, ,78, ,45.3, ,3.2, ,76.3, ,48.8, 
152,12/14/2021,348,0.01,R,1.38, ,74, ,11.4, ,58.2, ,38.0, ,50.8, ,99, ,66, ,90, ,48.1, ,3.2, ,78.0, ,50.1, 
152,12/15/2021,349,0.05,R,0, ,270, ,6.9, ,58.7, ,35.9, ,45.2, ,94, ,36, ,67, ,35.1, ,1.0,I,24.0,I,46.3,Y
152,12/16/2021,350,0.02,R,0.15, ,137, ,10.2, ,56.9, ,36.8, ,47.4, ,99, ,67, ,91, ,44.9, ,1.0,I,24.0,I,46.2,Y
152,12/17/2021,351,0.07,R,0, ,296, ,6.1, ,66.8, ,43.1, ,56.4, ,99, ,21, ,39, ,31.8, ,1.0,I,24.0,I,47.8,Y
152,12/18/2021,352,0.07,R,0, ,294, ,5.5, ,71.9, ,43.2, ,56.7, ,75, ,15, ,35, ,29.2, ,1.0,I,24.0,I,48.2, 
152,12/19/2021,353,0.06,R,0, ,288, ,7.9, ,63.3, ,38.6, ,48.8, ,99, ,39, ,68, ,38.6, ,1.0,I,24.0,I,47.5,Y
152,12/20/2021,354,0.05,R,0, ,233, ,8.9, ,59.9, ,36.7, ,47.9, ,99, ,56, ,78, ,41.5, ,1.0,I,24.0,I,46.8,Y
152,12/21/2021,355,0.04,R,0, ,162, ,8.4, ,63.7, ,42.0, ,51.8, ,96, ,43, ,64, ,39.9, ,1.0,I,24.0,I,48.2, 
152,12/22/2021,356,0.03,R,0.04, ,127, ,9.1, ,60.9, ,42.2, ,52.8, ,93, ,39, ,67, ,42.0, ,1.0,I,24.0,I,48.1, 
152,12/23/2021,357,0,R,1.69, ,24, ,13.4, ,54.6, ,50.9, ,52.6, ,99, ,99, ,99, ,52.4, ,1.0,I,24.0,I,50.0, 
152,12/24/2021,358,0.04,R,0.54,H,222, ,13.1, ,60.7, ,49.2, ,53.9, ,99, ,72, ,92, ,51.7, ,1.0,I,24.0,I,51.8, 
152,12/25/2021,359,0.02,R,0.11,H,149, ,11.6, ,57.3, ,48.9, ,51.5, ,99, ,60, ,90, ,48.5, ,1.0,I,24.0,I,50.8, 
152,12/26/2021,360,0.05,R,0.06,H,289, ,9.1, ,57.6, ,39.4, ,48.8, ,99, ,48, ,77, ,42.1, ,1.0,I,24.0,I,49.4, 
152,12/27/2021,361,0.01,R,0.02, ,115, ,9.9, ,52.0, ,37.2, ,45.5, ,99, ,71, ,95, ,44.2, ,1.0,I,24.0,I,45.9,Y
152,12/28/2021,362,0.05,R,0.01, ,294, ,8.3, ,56.7, ,35.1, ,45.6, ,99, ,50, ,80, ,39.7, ,1.0,I,24.0,I,46.1,Y
152,12/29/2021,363,0.01,R,0.00, ,73, ,11.0, ,51.8, ,38.9, ,47.8, ,99, ,85, ,97, ,47.0, ,1.0,I,24.0,I,45.9,Y
152,12/30/2021,364,0.00,R,0.02, ,53, ,12.4, ,52.3, ,47.6, ,50.3, ,99, ,99, ,100, ,50.2, ,1.0,I,24.0,I,48.4, 
152,12/31/2021,365,0.05,R,0.01, ,252, ,11.0, ,59.4, ,41.3, ,49.7, ,100, ,72, ,91, ,47.1, ,1.0,I,24.0,I,49.2, 
