90,12/1/2021,335,0.04, ,0, ,213, ,4.5, ,68.7,Y,21.6, ,38.8, ,92, ,20, ,56, ,24.6, ,2.9, ,70.7, ,39.9, 
90,12/2/2021,336,0.05, ,0, ,238, ,4.4, ,65.4,Y,21.8, ,37.4, ,89, ,23, ,58, ,24.1, ,2.7, ,66.0, ,39.9, 
90,12/3/2021,337,0.04, ,0, ,240, ,4.5, ,61.5, ,18.0, ,34.5, ,92, ,28, ,66, ,24.4, ,3.0, ,71.2, ,39.5, 
90,12/4/2021,338,0.04, ,0, ,232, ,4.3, ,61.4, ,17.0, ,33.7, ,94, ,28, ,66, ,23.6, ,2.9, ,70.2, ,39.0, 
90,12/5/2021,339,0.05, ,0, ,221, ,3.8, ,56.0, ,17.0, ,32.9, ,90, ,25, ,60, ,20.5, ,3.2, ,76.2, ,38.6, 
90,12/6/2021,340,0.01, ,0, ,60, ,4.7, ,42.8, ,22.1, ,34.6, ,84, ,47, ,69, ,25.5, ,2.8, ,66.9, ,38.2, 
90,12/7/2021,341,0.04, ,0, ,225, ,5.7, ,55.7, ,22.2, ,35.9, ,97, ,49, ,80, ,30.3, ,3.2, ,77.7, ,39.0, 
90,12/8/2021,342,0.01, ,0, ,74, ,5.9, ,44.7, ,20.7, ,34.8, ,94, ,70, ,86, ,31.1, ,3.9, ,93.9, ,38.7, 
90,12/9/2021,343,0.03, ,0.08, ,182, ,4.3, ,34.9, ,22.1, ,29.6, ,98, ,52, ,77, ,23.3, ,4.4, ,106.5, ,39.2, 
90,12/10/2021,344,0.03, ,0, ,228, ,3.5, ,37.6, ,18.0, ,27.1, ,90, ,44, ,70, ,18.7, ,3.4, ,80.4, ,37.7, 
90,12/11/2021,345,0.04, ,0, ,50, ,3.5, ,38.8, ,21.1, ,34.7, ,82, ,45, ,52, ,18.9, ,8.6, ,207.2, ,36.7, 
90,12/12/2021,346,0.06, ,0, ,172, ,5.2, ,47.4, ,32.8, ,37.9, ,75, ,50, ,67, ,27.8, ,12.3,Y,295.1,Y,37.3, 
90,12/13/2021,347,0.03, ,0.09, ,86, ,6.0, ,42.8, ,28.7, ,36.1, ,98, ,66, ,83, ,31.4, ,11.3, ,270.1, ,38.3, 
90,12/14/2021,348,0.00,R,0.24, ,24, ,3.9, ,35.6, ,-4.3,Y,21.3, ,97, ,83, ,100, ,21.2, ,1.0,I,24.0,I,38.2, 
90,12/15/2021,349,0.02,R,0.01, ,72, ,3.8, ,31.7, ,10.2, ,25.5, ,90, ,72, ,81, ,20.6, ,8.6, ,207.1, ,37.7, 
90,12/16/2021,350,0.03, ,0.29, ,190, ,4.7, ,40.0, ,21.1, ,29.5, ,96, ,72, ,85, ,25.4, ,4.1, ,98.2, ,37.4, 
90,12/17/2021,351,0.02, ,0.06,H,236,R,2.9, ,30.8, ,2.8, ,17.0, ,93, ,70, ,89, ,14.2, ,2.7, ,64.7, ,37.3, 
90,12/18/2021,352,0.02,R,0.05,H,192, ,2.7, ,27.9, ,5.2, ,15.6, ,91, ,67, ,86, ,12.3, ,1.7, ,41.1, ,36.9, 
90,12/19/2021,353,0.07,R,0.03, ,222, ,3.7, ,42.8, ,18.8, ,34.2, ,92, ,37, ,55, ,19.9, ,9.3, ,223.1, ,36.5, 
90,12/20/2021,354,0.06, ,0, ,201, ,3.2, ,42.6, ,26.3, ,34.0, ,80, ,37, ,48, ,16.5, ,7.0, ,168.4, ,36.6, 
90,12/21/2021,355,0.02, ,0, ,162, ,3.7, ,40.6, ,15.6, ,30.2, ,77, ,48, ,65, ,20.0, ,4.6, ,111.2, ,36.5, 
90,12/22/2021,356,0.03, ,0.01, ,179, ,5.9, ,41.7, ,34.3, ,37.7, ,84, ,71, ,77, ,31.3, ,10.4, ,250.0, ,36.5, 
90,12/23/2021,357,0.02, ,0.21, ,105, ,6.3, ,42.2, ,33.4, ,37.2, ,95, ,71, ,84, ,32.9, ,9.0, ,216.5, ,36.3, 
90,12/24/2021,358,0.04, ,0.15, ,187, ,5.0, ,36.2, ,25.0, ,31.7, ,97, ,67, ,83, ,27.2, ,10.2, ,244.9, ,36.2, 
90,12/25/2021,359,0.02, ,0.17, ,130, ,4.8, ,32.8, ,20.4, ,28.9, ,96, ,73, ,88, ,25.9, ,8.7, ,208.9, ,36.1, 
90,12/26/2021,360,0.03, ,0, ,207, ,3.6, ,30.4, ,19.6, ,25.3, ,87, ,72, ,78, ,19.4, ,15.6,R,373.6,R,36.1, 
90,12/27/2021,361,0.02, ,0.04,H,159, ,3.4, ,29.8, ,13.9, ,22.5, ,92, ,68, ,82, ,17.8, ,7.6, ,183.5, ,36.1, 
90,12/28/2021,362,0.01, ,0.09, ,117, ,3.5, ,27.5, ,14.1, ,21.3, ,93, ,78, ,89, ,18.5, ,2.8, ,68.3, ,36.1, 
90,12/29/2021,363,0.02, ,0.08, ,137, ,3.9, ,32.9, ,7.4, ,24.0, ,97, ,77, ,90, ,21.4, ,2.6, ,61.4, ,36.1, 
90,12/30/2021,364,0.02, ,0.02, ,153, ,3.6, ,34.1, ,8.0, ,22.3, ,93, ,74, ,87, ,19.2, ,3.8, ,91.3, ,36.0, 
90,12/31/2021,365,0.03, ,0.03, ,195, ,3.2, ,31.8, ,-3.8,Y,20.7, ,90, ,61, ,83, ,16.4, ,4.9, ,117.6, ,36.0, 
