233,8/1/2022,213,--,N,1.28, ,429, ,22.0,Y,95.4, ,70.9, ,83.7, ,80, ,36, ,56,Y,66.2,Y,3.4, ,81.9, ,--,S
233,8/2/2022,214,--,N,0, ,573, ,18.5, ,99.9, ,74.8, ,87.5, ,78, ,26, ,42, ,61.2, ,3.1, ,73.9, ,--,S
233,8/3/2022,215,--,N,0, ,600, ,16.7, ,103.6, ,74.1, ,90.1, ,74, ,20, ,35, ,58.4, ,4.0, ,95.8, ,--,S
233,8/4/2022,216,--,N,0, ,317, ,19.0, ,94.8, ,77.8, ,84.5, ,69, ,33, ,47, ,62.0, ,4.8, ,115.5, ,--,S
233,8/5/2022,217,--,N,0, ,627, ,21.5,Y,98.7, ,75.9, ,83.9, ,79, ,32, ,54,Y,65.6,Y,4.2, ,100.8, ,--,S
233,8/6/2022,218,--,N,0, ,692, ,15.2, ,101.5, ,71.0, ,88.9, ,67, ,18, ,33, ,55.8, ,3.1, ,74.7, ,--,S
233,8/7/2022,219,--,N,0, ,535, ,14.1, ,103.4, ,73.1, ,89.3, ,44, ,17, ,30, ,53.7, ,4.7, ,113.0, ,--,S
233,8/8/2022,220,--,N,0.62, ,373, ,22.8,Y,104.7, ,75.5, ,86.1, ,75, ,25, ,53,Y,67.2,Y,3.9, ,94.2, ,--,S
233,8/9/2022,221,--,N,0, ,646, ,20.9,Y,102.4, ,73.5, ,87.7, ,84, ,25, ,47,Y,64.8,Y,4.2, ,100.6, ,--,S
233,8/10/2022,222,--,N,0, ,667, ,18.8,Y,110.8, ,74.3, ,90.2, ,74, ,21, ,39,Y,61.7,Y,4.2, ,101.2, ,--,S
233,8/11/2022,223,--,N,0, ,655, ,16.2, ,109.6, ,74.6, ,91.7, ,63, ,16, ,32, ,57.6, ,4.4, ,104.9, ,--,S
233,8/12/2022,224,--,N,0, ,521, ,17.2, ,102.2, ,77.4, ,91.1, ,71, ,21, ,35, ,59.3, ,4.5, ,108.1, ,--,S
233,8/13/2022,225,--,N,0, ,413, ,21.4,Y,102.7, ,74.4, ,86.9, ,79, ,34, ,49,Y,65.4,Y,3.8, ,90.8, ,--,S
233,8/14/2022,226,--,N,0, ,553, ,16.5, ,101.3, ,74.4, ,90.2, ,60, ,22, ,34, ,58.1, ,3.8, ,91.9, ,--,S
233,8/15/2022,227,--,N,0, ,582, ,21.2,Y,101.2, ,75.7, ,89.4, ,68, ,30, ,45,Y,65.2,Y,3.4, ,82.5, ,--,S
233,8/16/2022,228,--,N,0, ,145, ,19.4, ,99.7, ,81.4, ,88.6, ,58, ,23, ,42, ,62.6, ,4.4, ,104.4, ,--,S
233,8/17/2022,229,--,N,0.01, ,526, ,16.4, ,108.0, ,75.4, ,91.1, ,61, ,20, ,33, ,57.9, ,4.1, ,97.3, ,--,S
233,8/18/2022,230,--,N,0, ,536, ,13.3, ,109.3, ,75.5, ,92.8, ,57, ,15, ,25, ,52.1, ,3.4, ,81.3, ,--,S
233,8/19/2022,231,--,N,0, ,614, ,17.2, ,105.7, ,74.6, ,92.4, ,65, ,22, ,33, ,59.2, ,3.9, ,93.6, ,--,S
233,8/20/2022,232,--,N,0, ,524, ,22.5,Y,104.8, ,79.0, ,92.4, ,74, ,26, ,43,Y,66.9,Y,5.4, ,129.7, ,--,S
233,8/21/2022,233,--,N,0, ,616, ,20.0,Y,106.8, ,75.7, ,92.1, ,77, ,21, ,39,Y,63.4,Y,4.1, ,98.9, ,--,S
233,8/22/2022,234,--,N,0, ,605, ,16.7, ,105.2, ,79.3, ,92.3, ,63, ,16, ,32, ,58.4, ,4.5, ,107.0, ,--,S
233,8/23/2022,235,--,N,0, ,617, ,14.6, ,106.1, ,71.6, ,92.4, ,53, ,12, ,28, ,54.7, ,4.6, ,110.9, ,--,S
233,8/24/2022,236,--,N,0, ,276, ,20.4, ,100.4, ,81.6,Y,90.8, ,62, ,25, ,41, ,64.1, ,5.7, ,136.6, ,--,S
233,8/25/2022,237,--,N,0, ,512, ,19.9, ,102.4, ,75.0, ,89.1, ,72, ,26, ,42, ,63.4, ,4.1, ,98.3, ,--,S
233,8/26/2022,238,--,N,0, ,598, ,12.4, ,106.7, ,73.9, ,90.5, ,51, ,13, ,25, ,50.2, ,3.9, ,94.2, ,--,S
233,8/27/2022,239,--,N,0, ,618, ,10.4, ,107.0, ,69.1, ,89.3, ,38, ,12, ,22, ,45.5, ,4.7, ,113.2, ,--,S
233,8/28/2022,240,--,N,0, ,541, ,15.8, ,105.5, ,71.1, ,88.5, ,48, ,22, ,34, ,56.8, ,4.4, ,106.1, ,--,S
233,8/29/2022,241,--,N,0, ,609, ,16.5, ,106.1, ,72.4, ,90.3, ,60, ,17, ,34, ,58.1, ,4.2, ,101.5, ,--,S
233,8/30/2022,242,--,N,0, ,607, ,13.1, ,115.8,Y,71.3, ,91.7, ,57, ,14, ,26, ,51.8, ,2.9, ,70.6, ,--,S
233,8/31/2022,243,--,N,0, ,570, ,10.6, ,109.3, ,75.5, ,93.6, ,37, ,10, ,20, ,46.0, ,3.1, ,73.2, ,--,S
