2,4/1/2022,91,0.16, ,0.00, ,480, ,10.7, ,76.2, ,44.0, ,60.4, ,95, ,35, ,59, ,46.2, ,4.0, ,95.4, ,62.9, 
2,4/2/2022,92,0.19, ,0.00, ,480, ,9.9, ,78.5, ,45.2, ,63.8, ,85, ,33, ,49, ,44.3, ,5.2, ,125.6, ,63.6, 
2,4/3/2022,93,0.23, ,0, ,466, ,7.2, ,80.7, ,48.1, ,64.6, ,74, ,15, ,35, ,36.1, ,7.0, ,168.4, ,63.6, 
2,4/4/2022,94,0.22, ,0.03,H,518, ,8.7, ,76.4, ,46.1, ,62.2, ,64, ,30, ,45, ,40.8, ,8.3, ,198.2, ,63.2, 
2,4/5/2022,95,0.23, ,0.02, ,526, ,9.4, ,74.0, ,49.7, ,61.5, ,86, ,27, ,50, ,42.9, ,10.0, ,239.2, ,65.2, 
2,4/6/2022,96,0.22, ,0, ,553, ,7.6, ,79.6, ,49.2, ,63.2, ,59, ,29, ,38, ,37.5, ,6.5, ,156.9, ,65.8, 
2,4/7/2022,97,0.23, ,0.02, ,566, ,9.8, ,92.5,Y,50.3, ,69.5, ,69, ,14, ,40, ,44.1, ,4.7, ,111.7, ,66.4, 
2,4/8/2022,98,0.26, ,0.02, ,560, ,10.5, ,91.4,Y,52.7, ,73.7,Y,73, ,18, ,37,Y,45.7,Y,6.1, ,146.9, ,68.8,Y
2,4/9/2022,99,0.35, ,0.01,H,608, ,5.8, ,78.5, ,56.6, ,67.6, ,49, ,14, ,25, ,30.9, ,14.5,Y,348.2,Y,70.2,Y
2,4/10/2022,100,0.30, ,0.00, ,589, ,4.2,Y,72.2, ,48.8, ,61.1, ,43, ,16, ,23,Y,22.7,Y,11.9, ,286.1, ,68.1,Y
2,4/11/2022,101,0.15, ,0.00, ,373, ,6.6, ,66.2, ,43.8, ,53.8, ,64, ,27, ,47, ,34.0, ,8.8, ,211.5, ,66.6, 
2,4/12/2022,102,0.24, ,0, ,637,R,4.6,Y,63.6, ,41.6, ,51.6, ,55, ,19, ,35,Y,25.2,Y,10.9, ,262.3, ,64.8, 
2,4/13/2022,103,0.20, ,0, ,618, ,5.4, ,66.5, ,36.9, ,53.0, ,64, ,22, ,39, ,28.8, ,6.7, ,161.7, ,63.8, 
2,4/14/2022,104,0.18, ,0, ,527, ,8.4, ,69.2, ,41.6, ,55.8, ,70, ,41, ,55, ,39.9, ,6.7, ,159.9, ,62.8, 
2,4/15/2022,105,0.19, ,0, ,583, ,9.8, ,75.5, ,41.4, ,59.5, ,95, ,33, ,56, ,43.9, ,3.5, ,83.3, ,63.5, 
2,4/16/2022,106,0.17, ,0.00, ,450, ,10.3, ,73.7, ,51.8, ,62.4, ,72, ,38, ,53, ,45.2, ,6.5, ,155.2, ,64.4, 
2,4/17/2022,107,0.22, ,0, ,623, ,8.7, ,76.8, ,45.2, ,61.7, ,77, ,26, ,46, ,40.8, ,6.1, ,147.2, ,64.3, 
2,4/18/2022,108,0.22, ,0, ,582, ,8.5, ,76.8, ,46.3, ,61.8, ,74, ,29, ,45, ,40.3, ,7.2, ,173.8, ,64.6, 
2,4/19/2022,109,0.18, ,0, ,486, ,10.1, ,72.8, ,46.8, ,60.4, ,80, ,42, ,56, ,44.9, ,6.3, ,151.7, ,65.2, 
2,4/20/2022,110,0.21, ,0, ,617, ,8.3, ,75.6, ,42.9, ,60.7, ,76, ,25, ,46, ,39.6, ,5.3, ,128.3, ,65.0, 
2,4/21/2022,111,0.12, ,0, ,298, ,10.9, ,69.7, ,49.8, ,58.5, ,96, ,40, ,65, ,46.7, ,7.3, ,174.3, ,64.8, 
2,4/22/2022,112,0.18, ,0, ,525, ,9.6, ,67.3, ,45.8, ,55.8, ,99, ,38, ,63, ,43.5, ,6.5, ,155.8, ,64.7, 
2,4/23/2022,113,0.23, ,0, ,623, ,8.5, ,72.8, ,39.0, ,58.0, ,86, ,30, ,51, ,40.2, ,6.9, ,164.5, ,64.6, 
2,4/24/2022,114,0.23, ,0, ,616, ,7.9, ,79.4, ,42.1, ,62.0, ,75, ,25, ,42, ,38.4, ,4.3, ,104.0, ,64.6, 
2,4/25/2022,115,0.25, ,0, ,613, ,7.4, ,85.3, ,45.8, ,67.3, ,64, ,16, ,32, ,36.7, ,4.8, ,115.1, ,65.2, 
2,4/26/2022,116,0.22, ,0, ,475, ,8.0, ,76.0, ,53.7, ,66.0, ,54, ,25, ,37, ,38.7, ,8.6, ,205.3, ,66.1, 
2,4/27/2022,117,0.22, ,0, ,588, ,6.6, ,77.9, ,42.1, ,62.0, ,76, ,18, ,35, ,33.8, ,5.5, ,131.5, ,65.8, 
2,4/28/2022,118,0.28, ,0, ,640, ,6.8, ,71.8, ,47.6, ,60.2, ,53, ,26, ,38, ,34.6, ,11.0, ,263.9, ,65.9, 
2,4/29/2022,119,0.26, ,0, ,626, ,7.0, ,76.3, ,41.6, ,60.1, ,71, ,21, ,40, ,35.4, ,8.1, ,193.7, ,65.3, 
2,4/30/2022,120,0.27, ,0, ,615, ,8.8, ,82.4, ,42.3, ,65.3, ,66, ,25, ,41, ,41.2, ,7.9, ,190.5, ,64.9, 
