171,4/1/2022,91,0.15, ,0, ,530, ,10.6, ,71.3, ,41.7, ,54.1, ,96, ,43, ,74, ,46.2, ,3.4, ,80.9, ,58.2, 
171,4/2/2022,92,0.16, ,0, ,521, ,11.6, ,73.8, ,43.7, ,57.3, ,97, ,44, ,72, ,48.4, ,2.7, ,65.2, ,58.2, 
171,4/3/2022,93,0.15, ,0, ,517, ,11.1, ,66.4, ,45.4, ,54.8, ,95, ,57, ,76, ,47.2, ,3.6, ,86.9, ,58.5, 
171,4/4/2022,94,0.15, ,0, ,510, ,12.2, ,64.8, ,49.1, ,56.2, ,90, ,61, ,79, ,49.9, ,4.1, ,98.6, ,58.7, 
171,4/5/2022,95,0.16, ,0.01,H,537, ,11.1, ,67.3, ,48.1, ,56.9, ,92, ,46, ,70, ,47.4, ,3.3, ,80.3, ,59.2, 
171,4/6/2022,96,0.18, ,0, ,545, ,10.0, ,81.4,Y,43.0, ,61.2, ,91, ,26, ,54, ,44.6, ,2.4, ,57.1, ,58.9, 
171,4/7/2022,97,0.19,R,0, ,541, ,11.0, ,88.2,R,48.5, ,68.1,R,83,H,30,H,--,R,--,I,2.4, ,57.5, ,59.6, 
171,4/8/2022,98,0.18, ,0, ,536, ,11.8, ,76.0, ,51.3, ,61.0, ,76, ,44, ,64, ,49.0, ,3.4, ,80.6, ,60.5, 
171,4/9/2022,99,0.17, ,0, ,566, ,10.5, ,68.0, ,45.9, ,55.6, ,91, ,46, ,69, ,45.7, ,3.7, ,88.6, ,60.2, 
171,4/10/2022,100,0.17, ,0, ,536, ,8.5, ,65.8, ,44.3, ,54.5, ,91, ,29, ,59, ,40.3, ,4.0, ,96.6, ,59.4, 
171,4/11/2022,101,0.14, ,0.31, ,485, ,8.7, ,56.5, ,46.5, ,51.1, ,97, ,49, ,68, ,41.0, ,6.5,Y,155.1,Y,59.1, 
171,4/12/2022,102,0.17, ,0, ,576, ,7.1, ,57.5, ,37.6, ,49.4, ,80, ,45, ,59, ,35.6, ,5.5, ,131.6, ,58.2, 
171,4/13/2022,103,0.14, ,0, ,492, ,8.1, ,59.8, ,41.3, ,51.3, ,83, ,48, ,63, ,39.2, ,3.5, ,84.9, ,58.0, 
171,4/14/2022,104,0.04, ,0.31, ,153, ,11.5, ,60.2, ,51.9, ,55.2, ,96, ,65, ,77, ,48.1, ,3.0, ,73.0, ,58.5, 
171,4/15/2022,105,0.17, ,0.04, ,583, ,10.1, ,64.5, ,47.7, ,54.8, ,96, ,53, ,69, ,44.9, ,3.8, ,91.3, ,59.0, 
171,4/16/2022,106,0.14, ,0.45, ,498, ,11.4, ,62.3, ,44.2, ,54.6, ,95, ,62, ,78, ,48.1, ,4.7, ,113.9, ,60.0, 
171,4/17/2022,107,0.17, ,0, ,608, ,8.7, ,60.1, ,41.1, ,50.3, ,94, ,54, ,70, ,40.9, ,3.7, ,89.0, ,59.5, 
171,4/18/2022,108,0.15, ,0, ,504, ,10.2, ,70.6, ,40.5, ,55.8, ,91, ,43, ,67, ,45.2, ,2.8, ,68.0, ,59.2, 
171,4/19/2022,109,0.15, ,0.28, ,511, ,11.6, ,64.7, ,48.5, ,57.4, ,97, ,50, ,72, ,48.5, ,3.9, ,93.3, ,60.5, 
171,4/20/2022,110,0.18, ,0.61, ,545, ,10.5, ,70.3, ,45.9, ,58.1, ,94, ,41, ,63, ,45.7, ,3.8, ,91.8, ,60.7, 
171,4/21/2022,111,0.12, ,0.19, ,390, ,11.8, ,65.2, ,52.8, ,57.4, ,97, ,49, ,73, ,49.0, ,3.7, ,87.8, ,61.3, 
171,4/22/2022,112,0.15, ,0.28, ,528, ,11.0, ,62.7, ,49.4, ,54.9, ,94, ,59, ,75, ,47.1, ,3.6, ,85.3, ,61.4, 
171,4/23/2022,113,0.18, ,0, ,603, ,11.9, ,69.4, ,50.1, ,57.5, ,89, ,50, ,74, ,49.2, ,3.5, ,84.1, ,61.8, 
171,4/24/2022,114,0.19, ,0, ,610, ,11.8, ,72.7, ,47.2, ,57.6, ,95, ,44, ,73, ,49.0, ,3.4, ,80.7, ,62.1, 
171,4/25/2022,115,0.18, ,0, ,608, ,11.6, ,68.7, ,45.2, ,56.4, ,94, ,53, ,75, ,48.5, ,3.4, ,81.7, ,62.2, 
171,4/26/2022,116,0.17, ,0, ,613, ,10.7, ,62.5, ,50.6, ,55.0, ,86, ,59, ,72, ,46.3, ,4.4, ,105.8, ,62.5, 
171,4/27/2022,117,0.17, ,0, ,616, ,9.7, ,60.8, ,46.5, ,53.3, ,81, ,59, ,70, ,43.8, ,4.3, ,103.7, ,62.3, 
171,4/28/2022,118,0.18, ,0, ,622, ,10.0, ,60.1, ,47.9, ,53.7, ,86, ,59, ,71, ,44.7, ,5.2, ,125.0, ,62.2, 
171,4/29/2022,119,0.19, ,0, ,618, ,10.2, ,68.8, ,42.4, ,54.9, ,96, ,47, ,70, ,45.2, ,3.3, ,79.8, ,61.9, 
171,4/30/2022,120,0.17, ,0, ,597, ,12.1, ,64.2, ,46.8, ,55.5, ,93, ,64, ,80, ,49.5, ,3.9, ,93.7, ,62.1, 
