194,4/1/2022,91,0.16, ,0, ,566, ,11.3, ,75.3, ,40.4, ,58.3, ,95, ,42, ,68, ,47.7, ,2.8, ,68.0, ,56.8, 
194,4/2/2022,92,0.19, ,0, ,559, ,11.5, ,76.3, ,41.1, ,59.7, ,95, ,42, ,66, ,48.2, ,5.7, ,135.6, ,57.2, 
194,4/3/2022,93,0.22, ,0, ,579, ,9.3, ,78.9, ,44.5, ,59.6, ,88, ,25, ,53, ,42.7, ,6.6, ,157.4, ,57.3, 
194,4/4/2022,94,0.17, ,0, ,504, ,11.7, ,73.0, ,43.2, ,57.8, ,90, ,52, ,71, ,48.6, ,6.6, ,157.5, ,57.0, 
194,4/5/2022,95,0.21, ,0, ,582, ,9.6, ,71.2, ,45.1, ,57.4, ,95, ,28, ,60, ,43.6, ,7.8, ,186.7, ,57.3, 
194,4/6/2022,96,0.17, ,0, ,584, ,10.2, ,79.5, ,41.4, ,60.1, ,87, ,33, ,58, ,45.1, ,2.9, ,69.0, ,56.9, 
194,4/7/2022,97,0.19, ,0, ,573, ,15.2, ,90.8,Y,49.9, ,68.1,Y,92, ,38, ,65,Y,55.8,Y,2.7, ,63.9, ,58.0, 
194,4/8/2022,98,0.22,R,0, ,587, ,14.0, ,86.8,Y,52.6, ,69.4,Y,94, ,35, ,57,Y,53.5,Y,4.6, ,111.5, ,59.5, 
194,4/9/2022,99,0.25, ,0, ,610, ,7.8, ,74.6, ,48.6, ,60.7, ,81, ,20, ,43, ,38.2, ,9.5, ,227.1, ,59.6, 
194,4/10/2022,100,0.22, ,0, ,574, ,6.6, ,70.0, ,46.2, ,57.5, ,81, ,29, ,41, ,34.0, ,8.5, ,204.9, ,57.9, 
194,4/11/2022,101,0.13, ,0.02, ,386, ,8.5, ,61.4, ,41.5, ,51.5, ,91, ,37, ,65, ,40.2, ,8.9, ,214.3, ,57.6, 
194,4/12/2022,102,0.18, ,0, ,621, ,6.7, ,60.6, ,34.1, ,48.1, ,91, ,34, ,59, ,34.3, ,6.6, ,158.9, ,55.9, 
194,4/13/2022,103,0.17, ,0, ,584, ,7.9, ,64.0, ,34.4, ,50.6, ,92, ,42, ,63, ,38.6, ,5.1, ,123.5, ,55.0, 
194,4/14/2022,104,0.09, ,0, ,337, ,11.1, ,63.9, ,47.1, ,55.9, ,94, ,58, ,73, ,47.4, ,2.8, ,66.8, ,55.6, 
194,4/15/2022,105,0.17, ,0, ,574, ,12.2, ,73.4, ,43.2, ,59.2, ,99, ,46, ,71, ,49.8, ,3.8, ,92.2, ,56.7, 
194,4/16/2022,106,0.14, ,0.16, ,475, ,12.6, ,69.7, ,47.5, ,58.0, ,94, ,56, ,77, ,50.7, ,5.3, ,126.0, ,57.6, 
194,4/17/2022,107,0.19, ,0, ,643,R,9.1, ,73.8, ,40.1, ,56.2, ,91, ,37, ,59, ,42.2, ,4.1, ,99.5, ,57.6, 
194,4/18/2022,108,0.14, ,0, ,483, ,10.4, ,69.4, ,41.8, ,56.1, ,87, ,45, ,68, ,45.5, ,5.3, ,127.2, ,57.3, 
194,4/19/2022,109,0.09, ,0, ,328, ,11.6, ,68.8, ,45.6, ,55.7, ,95, ,47, ,77, ,48.5, ,4.1, ,98.1, ,57.5, 
194,4/20/2022,110,0.19, ,0, ,635, ,10.4, ,72.9, ,41.0, ,58.0, ,97, ,36, ,63, ,45.5, ,4.3, ,103.7, ,57.5, 
194,4/21/2022,111,0.08, ,0.18, ,305, ,12.7, ,61.8, ,52.2, ,56.1, ,93, ,70, ,83, ,50.9, ,5.7, ,136.5, ,58.0, 
194,4/22/2022,112,0.17, ,0.01, ,560, ,10.8, ,65.7, ,46.5, ,55.2, ,96, ,50, ,72, ,46.6, ,4.8, ,114.3, ,57.9, 
194,4/23/2022,113,0.21, ,0, ,650, ,10.9, ,72.5, ,42.5, ,57.6, ,98, ,38, ,67, ,46.9, ,5.5, ,132.7, ,57.5, 
194,4/24/2022,114,0.20, ,0, ,652, ,11.1, ,77.2, ,44.8, ,60.8, ,92, ,33, ,61, ,47.3, ,3.2, ,76.2, ,58.0, 
194,4/25/2022,115,0.20, ,0, ,638, ,11.8, ,82.1, ,43.4, ,62.8, ,93, ,34, ,60, ,48.9, ,3.3, ,79.2, ,58.6, 
194,4/26/2022,116,0.21, ,0, ,610, ,11.1, ,74.1, ,48.3, ,59.2, ,84, ,47, ,65, ,47.4, ,6.7, ,160.3, ,59.2, 
194,4/27/2022,117,0.21, ,0, ,653, ,9.7, ,74.9, ,42.7, ,57.9, ,87, ,38, ,59, ,43.7, ,6.0, ,143.0, ,58.9, 
194,4/28/2022,118,0.21, ,0, ,664, ,9.7, ,68.0, ,41.9, ,55.4, ,84, ,49, ,65, ,43.8, ,8.1, ,194.9, ,58.5, 
194,4/29/2022,119,0.21, ,0, ,644, ,10.0, ,73.8, ,43.7, ,58.3, ,91, ,32, ,60, ,44.5, ,6.0, ,144.0, ,58.2, 
194,4/30/2022,120,0.22, ,0, ,655, ,11.9, ,77.8, ,44.5, ,60.5, ,88, ,48, ,66, ,49.2, ,5.6, ,133.5, ,58.6, 
