195,4/1/2022,91,0.18, ,0, ,576, ,9.7, ,75.4, ,47.3, ,60.0, ,82, ,28, ,55, ,43.9, ,3.1, ,74.5, ,60.8, 
195,4/2/2022,92,0.19, ,0, ,561, ,9.3, ,76.7, ,50.6, ,62.6, ,74, ,24, ,48, ,42.6, ,4.0, ,95.7, ,61.6, 
195,4/3/2022,93,0.19, ,0, ,536, ,7.4, ,77.3, ,46.4, ,63.7, ,67, ,17, ,37, ,36.8, ,3.0, ,71.1, ,62.2, 
195,4/4/2022,94,0.12, ,0, ,368, ,9.5, ,67.7, ,48.8, ,58.4, ,94, ,40, ,57, ,43.1, ,2.5, ,59.2, ,62.6, 
195,4/5/2022,95,0.19, ,0, ,602,R,8.7, ,71.5, ,46.1, ,57.5, ,99, ,15, ,54, ,40.9, ,3.5, ,83.8, ,62.3, 
195,4/6/2022,96,0.20, ,0, ,601,R,8.7, ,82.9, ,43.3, ,63.9, ,80, ,19, ,43, ,40.9, ,2.7, ,64.6, ,62.6, 
195,4/7/2022,97,0.23, ,0.02,H,588, ,9.4, ,88.1,Y,58.9,Y,71.4,Y,54, ,21, ,36,Y,43.0,Y,3.7, ,88.0, ,63.7, 
195,4/8/2022,98,0.22, ,0, ,585, ,9.4, ,88.4,Y,61.1,Y,72.8,Y,51, ,18, ,34,Y,43.0,Y,3.2, ,76.5, ,65.0, 
195,4/9/2022,99,0.22, ,0, ,624,R,6.8, ,74.0, ,43.4, ,59.3, ,90, ,14, ,39, ,34.5, ,3.8, ,90.0, ,65.8,Y
195,4/10/2022,100,0.18, ,0, ,559, ,5.5, ,70.6, ,36.7, ,54.2, ,64, ,18, ,38, ,29.3, ,3.2, ,77.5, ,65.0, 
195,4/11/2022,101,0.09, ,0.20, ,312, ,7.1, ,58.3, ,33.8, ,48.6, ,99, ,22, ,61, ,35.7, ,4.0, ,96.6, ,64.0, 
195,4/12/2022,102,0.17, ,0, ,625,R,5.0, ,59.8, ,32.5,Y,45.8, ,85, ,24, ,48, ,27.3, ,3.0, ,72.9, ,61.6, 
195,4/13/2022,103,0.14, ,0.12, ,517, ,6.9, ,59.1, ,35.9, ,47.8, ,92, ,37, ,61, ,35.1, ,2.7, ,65.9, ,61.0, 
195,4/14/2022,104,0.01, ,1.32, ,90, ,11.4, ,51.7, ,44.5, ,49.2, ,100, ,92, ,96, ,48.1, ,3.0, ,71.7, ,60.5, 
195,4/15/2022,105,0.14, ,0.01, ,473, ,11.1, ,67.6, ,50.7, ,57.5, ,96, ,41, ,69, ,47.4, ,2.6, ,61.2, ,59.5, 
195,4/16/2022,106,0.08, ,0.63, ,277, ,12.1, ,66.1, ,46.5, ,55.4, ,100, ,61, ,81, ,49.6, ,2.7, ,65.0, ,60.2, 
195,4/17/2022,107,0.20, ,0, ,672,R,8.8, ,71.4, ,45.2, ,56.9, ,98, ,22, ,56, ,41.2, ,2.8, ,67.2, ,60.2, 
195,4/18/2022,108,0.17, ,0, ,549, ,8.8, ,66.9, ,40.3, ,55.8, ,82, ,38, ,58, ,41.1, ,2.6, ,62.2, ,60.7, 
195,4/19/2022,109,0.12, ,0.35, ,427, ,10.8, ,65.3, ,45.9, ,55.3, ,98, ,44, ,72, ,46.5, ,2.4, ,58.2, ,61.1, 
195,4/20/2022,110,0.19, ,0.47, ,620, ,9.8, ,68.5, ,43.4, ,55.7, ,97, ,37, ,65, ,44.1, ,3.1, ,74.3, ,61.0, 
195,4/21/2022,111,0.03, ,0.70, ,173, ,11.9, ,55.7, ,44.9, ,51.1, ,98, ,86, ,93, ,49.2, ,2.7, ,64.9, ,61.1, 
195,4/22/2022,112,0.13, ,0.06, ,465, ,9.8, ,65.1, ,44.0, ,52.5, ,98, ,46, ,72, ,43.9, ,2.6, ,61.8, ,60.0, 
195,4/23/2022,113,0.21, ,0, ,672,R,8.5, ,73.8, ,44.6, ,58.6, ,81, ,28, ,51, ,40.5, ,3.9, ,93.8, ,60.2, 
195,4/24/2022,114,0.22, ,0, ,664,R,7.8, ,77.5, ,45.2, ,62.8, ,70, ,21, ,40, ,38.2, ,3.1, ,75.5, ,61.0, 
195,4/25/2022,115,0.22, ,0, ,618, ,8.8, ,78.2, ,53.9, ,65.1, ,59, ,25, ,41, ,41.1, ,3.3, ,80.3, ,61.8, 
195,4/26/2022,116,0.20, ,0, ,639, ,10.0, ,75.7, ,49.5, ,62.1, ,81, ,31, ,53, ,44.6, ,2.5, ,59.7, ,62.7, 
195,4/27/2022,117,0.20, ,0, ,648, ,9.4, ,72.6, ,45.1, ,59.1, ,92, ,32, ,55, ,43.0, ,2.6, ,62.5, ,63.4, 
195,4/28/2022,118,0.20, ,0, ,683,R,8.1, ,68.7, ,45.5, ,55.5, ,76, ,30, ,54, ,39.0, ,3.2, ,76.9, ,63.7, 
195,4/29/2022,119,0.22, ,0, ,648, ,7.8, ,75.3, ,47.5, ,60.7, ,59, ,22, ,43, ,38.0, ,3.7, ,89.2, ,63.8, 
195,4/30/2022,120,0.22, ,0, ,643, ,10.1, ,78.2, ,52.5, ,64.0, ,68, ,33, ,50, ,44.9, ,3.3, ,79.2, ,64.2, 
