216,4/1/2022,91,0.17, ,0.01, ,588, ,12.1, ,73.0, ,47.3, ,58.6, ,90, ,52, ,72, ,49.5, ,3.6, ,86.5, ,63.6, 
216,4/2/2022,92,0.06, ,0.00, ,241, ,12.7, ,65.5, ,48.2, ,56.5, ,97, ,66, ,82, ,51.0, ,2.2,Y,53.1,Y,64.3, 
216,4/3/2022,93,0.13, ,0, ,436, ,12.7, ,67.7, ,50.5, ,59.1, ,88, ,60, ,74, ,50.8, ,3.1, ,73.9, ,64.4, 
216,4/4/2022,94,0.18, ,0.00,H,573, ,10.7, ,82.2, ,47.4, ,61.8, ,98, ,16, ,57, ,46.2, ,3.8, ,91.7, ,65.0, 
216,4/5/2022,95,0.25, ,0, ,621,R,9.1, ,86.8, ,57.0, ,73.5,Y,72, ,19, ,32,Y,42.2,Y,4.9, ,117.7, ,66.6, 
216,4/6/2022,96,0.22, ,0, ,624,R,10.1, ,96.8,Y,54.2, ,73.9,Y,73, ,13, ,35,Y,44.7,Y,3.0, ,72.9, ,68.4, 
216,4/7/2022,97,0.27, ,0, ,642,R,5.6, ,95.3,Y,58.6,Y,78.2,R,41,H,7,H,--,R,--,I,4.9, ,118.3, ,70.1, 
216,4/8/2022,98,0.26, ,0, ,645,R,6.0, ,96.9,Y,63.0,R,79.2,R,37, ,9, ,--,R,--,I,3.8, ,91.5, ,71.4,Y
216,4/9/2022,99,0.25, ,0, ,633,R,10.2, ,84.6, ,58.3,Y,72.1,Y,84, ,23, ,38,Y,45.1,Y,5.6,Y,134.1,Y,72.5,Y
216,4/10/2022,100,0.18, ,0, ,573, ,12.6, ,71.8, ,47.8, ,60.0, ,90, ,51, ,71, ,50.7, ,4.3, ,103.7, ,72.4,Y
216,4/11/2022,101,0.08, ,0, ,260, ,11.9, ,65.0, ,52.8, ,58.1, ,87, ,52, ,72, ,49.1, ,4.5, ,107.1, ,71.2, 
216,4/12/2022,102,0.22, ,0, ,678,R,3.5, ,65.4, ,46.3, ,55.7, ,42, ,13, ,23, ,18.5, ,6.2,Y,149.2,Y,69.1, 
216,4/13/2022,103,0.22, ,0, ,663,R,4.4, ,73.1, ,47.2, ,58.4, ,51, ,17, ,26, ,23.8, ,5.0, ,119.2, ,68.2, 
216,4/14/2022,104,0.21, ,0, ,656,R,6.4, ,71.8, ,42.5, ,57.1, ,61, ,27, ,40, ,33.1, ,4.1, ,99.0, ,68.2, 
216,4/15/2022,105,0.20, ,0, ,637, ,10.0, ,74.9, ,44.5, ,58.3, ,86, ,33, ,60, ,44.4, ,4.6, ,109.5, ,68.4, 
216,4/16/2022,106,0.12, ,0, ,419, ,11.9, ,69.3, ,49.0, ,58.5, ,88, ,52, ,71, ,49.2, ,4.0, ,95.6, ,68.9, 
216,4/17/2022,107,0.21, ,0, ,661,R,11.8, ,76.5, ,47.7, ,61.3, ,89, ,44, ,64, ,49.0, ,3.6, ,86.5, ,68.9, 
216,4/18/2022,108,0.21, ,0, ,608, ,11.2, ,79.6, ,48.8, ,64.4, ,87, ,36, ,54, ,47.6, ,3.6, ,86.3, ,69.8, 
216,4/19/2022,109,0.21, ,0, ,636, ,11.8, ,71.9, ,53.5, ,61.9, ,86, ,43, ,63, ,49.0, ,5.2, ,125.0, ,70.7, 
216,4/20/2022,110,0.20, ,0, ,612, ,11.8, ,69.3, ,48.7, ,60.0, ,88, ,49, ,67, ,48.9, ,5.6,Y,135.4,Y,71.0, 
216,4/21/2022,111,0.16, ,0.04, ,515, ,10.7, ,69.3, ,44.5, ,57.3, ,92, ,45, ,66, ,46.2, ,4.4, ,105.3, ,70.5, 
216,4/22/2022,112,0.16, ,0.10,H,538, ,10.3, ,67.1, ,48.2, ,57.1, ,94, ,39, ,64, ,45.2, ,3.4, ,81.2, ,69.7, 
216,4/23/2022,113,0.23, ,0.02,H,686,R,8.4, ,80.5, ,43.9, ,62.5, ,86, ,16, ,44, ,40.1, ,3.8, ,92.2, ,67.9, 
216,4/24/2022,114,0.29, ,0, ,688,R,5.8, ,85.2, ,56.2, ,71.4, ,39, ,13, ,22, ,30.9, ,5.7,Y,137.7,Y,69.0, 
216,4/25/2022,115,0.27, ,0, ,686,R,5.1, ,89.0, ,55.3, ,71.3, ,36, ,10, ,20, ,27.8, ,3.7, ,89.8, ,70.5, 
216,4/26/2022,116,0.24, ,0, ,587, ,8.2, ,82.4, ,56.1, ,67.9, ,66, ,20, ,35, ,39.4, ,4.4, ,106.8, ,71.6, 
216,4/27/2022,117,0.21, ,0, ,647, ,12.3, ,74.2, ,49.9, ,61.6, ,86, ,44, ,66, ,50.1, ,4.6, ,111.2, ,71.9, 
216,4/28/2022,118,0.17, ,0, ,550, ,11.8, ,70.6, ,49.2, ,59.1, ,88, ,49, ,69, ,48.9, ,4.7, ,113.1, ,71.9, 
216,4/29/2022,119,0.22, ,0, ,689, ,10.9, ,76.6, ,44.4, ,60.3, ,86, ,37, ,61, ,46.8, ,3.5, ,85.2, ,71.3, 
216,4/30/2022,120,0.25, ,0, ,697,R,10.1, ,81.9, ,49.4, ,64.9, ,76, ,25, ,48, ,44.7, ,4.1, ,99.0, ,71.6, 
